scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,state_code,locality_id,protocol_type,observation_date,year,month,time_observations_started,duration_minutes,effort_distance_km,number_observers,fid
Turdus amaurochalinus,-71.37564,-12.87021,S64328764,Peru,obs853098,S64328764,1,PE-MDD,L1004838,Traveling,07-08-08,2008,8,13.5,300,4.828,6,1
Turdus amaurochalinus,-46.9025471,-23.2563256,S62024747,Brazil,obs692284,S62024747,,BR-SP,L10247446,Stationary,04-10-08,2008,10,7,240,0,3,1
Turdus amaurochalinus,-51.7283446,-28.1976096,S100662154,Brazil,obs1166183,S100662154,,BR-RS,L10637103,Traveling,01-01-08,2008,1,9,300,2.5,1,1
Turdus amaurochalinus,-46.8288573,-22.8792235,S128160963,Brazil,obs692284,S128160963,,BR-SP,L11351596,Traveling,06-06-08,2008,6,7,240,2,2,1
Turdus amaurochalinus,-58.8841965,-34.2030489,S135744242,Argentina,obs2422700,S135744242,,AR-B,L11718398,Stationary,27-12-08,2008,12,14,240,0,6,1
Turdus amaurochalinus,-58.494966,-34.4693445,S12923447,Argentina,obs344577,S12923447,1,AR-B,L1294852,Traveling,24-09-08,2008,9,8,180,3,3,1
Turdus amaurochalinus,-64.783972,-21.939096,S9001546,Bolivia,obs282293,S9001546,,BO-T,L1298228,Traveling,12-02-08,2008,2,10,180,1.609,2,1
Turdus amaurochalinus,-57.0634969,-25.6038428,S88538606,Paraguay,obs651050,S88538606,,PY-9,L14254624,Traveling,12-08-08,2008,8,8,60,1,1,1
Turdus amaurochalinus,-57.8437042,-34.4454237,S12927023,Uruguay,obs344577,S12927023,1,UY-CO,L1929097,Traveling,28-09-08,2008,9,10,300,3,1,1
Turdus amaurochalinus,-58.0698037,-34.8600526,S22928912,Argentina,obs559056,S22928912,,AR-B,L19440545,Traveling,31-03-08,2008,3,8,195,3,1,1
Turdus amaurochalinus,-57.8553772,-35.0227833,S21381792,Argentina,obs559056,S21381792,,AR-B,L19440655,Traveling,06-12-08,2008,12,8,300,5,1,1
Turdus amaurochalinus,-57.9404032,-34.9101999,S23518634,Argentina,obs559056,S23518634,,AR-B,L19440688,Traveling,11-12-08,2008,12,15,165,3,1,1
Turdus amaurochalinus,-57.9805257,-34.9226391,S22469279,Argentina,obs559056,S22469279,,AR-B,L19506577,Traveling,26-11-08,2008,11,9,120,0.8,1,1
