scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus falcklandii,-70.1536906,-32.8652816,S70797678,Chile,obs1312265,S70797678,2,true,CL-VS,L11766871,Traveling,27-10-03,2003,10,20,0.5,2
Turdus falcklandii,-72.6136345,-51.5695216,S70821027,Chile,obs1312265,S70821027,1,true,CL-MA,L11771539,Traveling,06-12-03,2003,9.25,30,0.5,2
Turdus falcklandii,-72.9621518,-51.0616,S70821904,Chile,obs1312265,S70821904,2,true,CL-MA,L11771702,Traveling,06-12-03,2003,13,20,1,2
Turdus falcklandii,-71.3230532,-52.4783814,S70823181,Chile,obs1312265,S70823181,1,true,CL-MA,L11771960,Traveling,08-12-03,2003,15.5,30,4,2
Turdus falcklandii,-70.9881592,-35.6035094,S53076597,Chile,obs267395,S53076597,2,true,CL-ML,L1186273,Traveling,18-02-03,2003,9,120,1.5,2
Turdus falcklandii,-73.1497192,-51.028656,S41052851,Chile,obs980281,S41052851,,true,CL-MA,L1259311,Traveling,16-12-03,2003,10,180,4,8
Turdus falcklandii,-71.2703705,-53.0388392,S70598145,Chile,obs754299,S70598145,2,true,CL-MA,L571106,Traveling,30-10-03,2003,10,60,3.219,2
Turdus falcklandii,-71.6299688,-33.6245899,S69086583,Chile,obs1714678,S69086583,,true,CL-VS,L6146259,Traveling,03-02-03,2003,17,180,2,1
Turdus falcklandii,-71.704652,-35.531209,S41580451,Chile,obs106827,S41580451,3,true,CL-ML,L6627665,Stationary,22-06-03,2003,16.33333333,20,0,1
Turdus falcklandii,-65.2423954,-43.2417014,S114486814,Argentina,obs1058232,S114486814,5,true,AR-U,L678082,Traveling,01-09-03,2003,10,150,5,3
Turdus falcklandii,-71.0699303,-35.60666,S53073746,Chile,obs267395,S53073746,2,true,CL-ML,L8184499,Traveling,26-09-03,2003,9,120,2,3
Turdus falcklandii,-72.9575,-51.0448,S7360750,Chile,obs197748,S7360750,,true,CL-MA,L1055863,Stationary,07-02-04,2004,14,60,0,1
Turdus falcklandii,-70.1326,-51.7255,S46179869,Argentina,obs294601,S46179869,4,true,AR-Z,L10584049,Traveling,06-11-04,2004,9,240,3,1
Turdus falcklandii,-71.4421442,-32.6507327,S70435319,Chile,obs1312265,S70435319,2,true,CL-VS,L11695869,Traveling,31-07-04,2004,9.5,60,2,1
Turdus falcklandii,-71.0881029,-32.9225855,S70442593,Chile,obs1312265,S70442593,2,true,CL-VS,L11697456,Traveling,01-08-04,2004,10,240,4,1
Turdus falcklandii,-72.0414404,-34.7763231,S70452927,Chile,obs1312265,S70452927,2,true,CL-ML,L11699545,Traveling,12-09-04,2004,9.5,150,4,1
Turdus falcklandii,-72.2223737,-39.2815861,S70517273,Chile,obs1312265,S70517273,2,true,CL-AR,L11712041,Traveling,18-01-04,2004,7,120,3,1
Turdus falcklandii,-71.7798046,-39.4177165,S70517598,Chile,obs1312265,S70517598,1,true,CL-AR,L11712146,Traveling,19-01-04,2004,10,60,2,2
Turdus falcklandii,-71.4944707,-31.8805884,S70549826,Chile,obs1312265,S70549826,1,true,CL-CO,L11718130,Traveling,08-04-04,2004,16,120,5,2
Turdus falcklandii,-70.4936835,-30.1252509,S70550204,Chile,obs1312265,S70550204,2,true,CL-CO,L11718190,Traveling,09-04-04,2004,16,60,2,1
Turdus falcklandii,-71.6184335,-42.094291,S21319998,Argentina,obs404217,S21319998,,true,AR-U,L2428989,Stationary,26-12-04,2004,17,240,0,1
Turdus falcklandii,-68.0898285,-38.9323155,S16130042,Argentina,obs423266,S16130042,,true,AR-Q,L2492074,Stationary,02-02-04,2004,7,120,0,1
Turdus falcklandii,-64.748036,-40.711241,S144525941,Argentina,obs1138037,S144525941,1,true,AR-R,L25927862,Stationary,19-12-04,2004,17,90,0,2
Turdus falcklandii,-70.5482769,-33.4548611,S3573673,Chile,obs47423,S3573673,3,true,CL-RM,L497558,Stationary,28-01-04,2004,8,180,0,1
Turdus falcklandii,-68.3185029,-54.8174286,S89168044,Argentina,obs532659,S89168044,3,true,AR-V,L4978756,Traveling,03-12-04,2004,8,200,4,1
Turdus falcklandii,-71.607154,-33.5052153,S94297683,Chile,obs502426,S94297683,1,true,CL-VS,L551450,Traveling,09-01-04,2004,16.75,120,3,1
Turdus falcklandii,-70.8279133,-33.2064427,S5172056,Chile,obs26981,S5172056,,true,CL-RM,L570658,Traveling,25-01-04,2004,16,180,1.609,7
Turdus falcklandii,-71.0856199,-32.9273735,S5558248,Chile,obs197064,S5558248,,true,CL-VS,L572759,Traveling,28-11-04,2004,14,210,5,2
Turdus falcklandii,-68.3885193,-54.7854438,S87131327,Argentina,obs825505,S87131327,,true,AR-V,L5797979,Traveling,27-12-04,2004,10,120,3.219,1
Turdus falcklandii,-71.503492,-32.9104328,S5594616,Chile,obs197064,S5594616,,true,CL-VS,L808260,Stationary,25-11-04,2004,13,60,0,1
Turdus falcklandii,-70.6141717,-33.4135063,S71781792,Chile,obs419735,S71781792,1,true,CL-RM,L9131129,Stationary,22-09-04,2004,8,60,0,1
Turdus falcklandii,-70.8120346,-35.0002263,S41885171,Chile,obs798380,S41885171,1,true,CL-ML,L984722,Traveling,27-03-04,2004,9,120,2,1
Turdus falcklandii,-71.627544,-33.619801,S60471689,Chile,obs137063,S60471689,5,true,CL-VS,L10009383,Traveling,14-11-05,2005,7.25,135,4,1
Turdus falcklandii,-72.2663176,-50.3252173,S20264232,Argentina,obs541735,S20264232,,true,AR-Z,L1042673,Traveling,28-07-05,2005,15,120,2,1
Turdus falcklandii,-73.6142951,-41.9159384,S70400336,Chile,obs1312265,S70400336,2,true,CL-LL,L11688057,Traveling,19-02-05,2005,7,120,3,1
Turdus falcklandii,-68.3099974,-54.8095246,S12138712,Argentina,obs195833,S12138712,25,true,AR-V,L1792440,Traveling,19-11-05,2005,12,150,2,1
Turdus falcklandii,-71.3421249,-42.8850209,S53732909,Argentina,obs1257411,S53732909,1,true,AR-U,L2365808,Stationary,26-07-05,2005,15,15,0,1
Turdus falcklandii,-68.4723333,-54.8196667,S88443359,Argentina,obs521876,S88443359,2,true,AR-V,L2763562,Traveling,17-03-05,2005,10,60,1,1
Turdus falcklandii,-72.0023346,-39.5718222,S119916728,Chile,obs857176,S119916728,1,true,CL-LR,L3178779,Traveling,04-02-05,2005,7,180,4.828,1
Turdus falcklandii,-68.0559368,-38.9359209,S21618958,Argentina,obs119009,S21618958,,true,AR-Q,L3329902,Traveling,17-04-05,2005,17,120,3.219,1
Turdus falcklandii,-71.3054752,-41.1322096,S53544521,Argentina,obs267395,S53544521,2,true,AR-R,L3332134,Traveling,24-09-05,2005,10,120,1,5
Turdus falcklandii,-68.2819176,-54.8010807,S5619152,Argentina,obs108458,S5619152,4,true,AR-V,L3337298,Traveling,26-01-05,2005,9,120,4.828,2
Turdus falcklandii,-72.9020119,-37.8233448,S87066293,Chile,obs825505,S87066293,,true,CL-AR,L3441898,Traveling,21-01-05,2005,6,120,1.609,1
Turdus falcklandii,-71.7920494,-38.2201106,S87066001,Chile,obs825505,S87066001,,true,CL-AR,L3441932,Traveling,20-01-05,2005,9,180,4.828,1
Turdus falcklandii,-70.6619275,-34.890736,S53068183,Chile,obs267395,S53068183,4,true,CL-LI,L3954733,Traveling,16-04-05,2005,10,180,3,4
Turdus falcklandii,-71.1417444,-41.3018361,S49497931,Argentina,obs496887,S49497931,,true,AR-R,L4853633,Traveling,09-12-05,2005,7,240,2,2
Turdus falcklandii,-71.1520958,-32.9921793,S5156923,Chile,obs160240,S5156923,,true,CL-VS,L516552,Traveling,28-08-05,2005,9,120,1,2
Turdus falcklandii,-72.9661846,-50.4860616,S20271487,Argentina,obs541735,S20271487,,true,AR-Z,L5217624,Traveling,29-07-05,2005,10,180,2,1
Turdus falcklandii,-71.6446785,-38.6903988,S7420837,Chile,obs109998,S7420837,1,true,CL-AR,L571161,Traveling,25-04-05,2005,15,180,3.219,2
Turdus falcklandii,-62.5418615,-38.5666229,S36644774,Argentina,obs240226,S36644774,,true,AR-B,L5801976,Stationary,18-06-05,2005,16,30,0,5
